station: station12
radial[mm] vertical[mm] counts
-45 -53 0
-45 -51 0
-45 -49 0
-45 -47 0
-45 -45 2
-45 -43 14
-45 -41 17
-45 -39 9
-45 -37 4
-45 -35 5
-45 -33 3
-45 -31 9
-45 -29 10
-45 -27 13
-45 -25 28
-45 -23 38
-45 -21 52
-45 -19 56
-45 -17 61
-45 -15 91
-45 -13 102
-45 -11 130
-45 -9 141
-45 -7 162
-45 -5 193
-45 -3 186
-45 -1 206
-45 1 175
-45 3 196
-45 5 183
-45 7 145
-45 9 151
-45 11 113
-45 13 107
-45 15 81
-45 17 71
-45 19 58
-45 21 55
-45 23 30
-45 25 28
-45 27 18
-45 29 11
-45 31 7
-45 33 2
-45 35 6
-45 37 13
-45 39 19
-45 41 16
-45 43 10
-45 45 1
-45 47 0
-45 49 0
-45 51 0
-45 53 0
-45 55 0
-45 57 0
-45 59 0
-43 -59 0
-43 -57 0
-43 -55 1
-43 -53 1
-43 -51 0
-43 -49 1
-43 -47 10
-43 -45 14
-43 -43 19
-43 -41 16
-43 -39 21
-43 -37 0
-43 -35 6
-43 -33 8
-43 -31 7
-43 -29 9
-43 -27 16
-43 -25 29
-43 -23 35
-43 -21 53
-43 -19 63
-43 -17 87
-43 -15 107
-43 -13 142
-43 -11 195
-43 -9 235
-43 -7 261
-43 -5 295
-43 -3 308
-43 -1 314
-43 1 322
-43 3 292
-43 5 273
-43 7 257
-43 9 184
-43 11 187
-43 13 137
-43 15 120
-43 17 76
-43 19 61
-43 21 40
-43 23 31
-43 25 30
-43 27 11
-43 29 14
-43 31 4
-43 33 4
-43 35 4
-43 37 8
-43 39 15
-43 41 27
-43 43 16
-43 45 12
-43 47 7
-43 49 2
-43 51 1
-43 53 0
-43 55 0
-43 57 0
-43 59 0
-41 -59 0
-41 -57 0
-41 -55 2
-41 -53 1
-41 -51 3
-41 -49 8
-41 -47 9
-41 -45 18
-41 -43 24
-41 -41 22
-41 -39 8
-41 -37 7
-41 -35 3
-41 -33 6
-41 -31 8
-41 -29 15
-41 -27 13
-41 -25 28
-41 -23 56
-41 -21 78
-41 -19 90
-41 -17 116
-41 -15 176
-41 -13 240
-41 -11 330
-41 -9 424
-41 -7 505
-41 -5 619
-41 -3 625
-41 -1 695
-41 1 668
-41 3 663
-41 5 614
-41 7 569
-41 9 423
-41 11 347
-41 13 259
-41 15 181
-41 17 120
-41 19 80
-41 21 60
-41 23 43
-41 25 40
-41 27 17
-41 29 14
-41 31 14
-41 33 7
-41 35 2
-41 37 9
-41 39 20
-41 41 19
-41 43 27
-41 45 13
-41 47 8
-41 49 4
-41 51 3
-41 53 1
-41 55 1
-41 57 1
-41 59 0
-39 -59 3
-39 -57 1
-39 -55 3
-39 -53 4
-39 -51 4
-39 -49 5
-39 -47 7
-39 -45 20
-39 -43 19
-39 -41 14
-39 -39 8
-39 -37 9
-39 -35 4
-39 -33 7
-39 -31 13
-39 -29 16
-39 -27 32
-39 -25 46
-39 -23 58
-39 -21 81
-39 -19 164
-39 -17 216
-39 -15 330
-39 -13 507
-39 -11 696
-39 -9 1003
-39 -7 1125
-39 -5 1219
-39 -3 1375
-39 -1 1469
-39 1 1357
-39 3 1462
-39 5 1280
-39 7 1174
-39 9 987
-39 11 737
-39 13 479
-39 15 334
-39 17 179
-39 19 133
-39 21 82
-39 23 67
-39 25 42
-39 27 20
-39 29 23
-39 31 5
-39 33 9
-39 35 5
-39 37 12
-39 39 12
-39 41 17
-39 43 21
-39 45 8
-39 47 7
-39 49 4
-39 51 4
-39 53 2
-39 55 0
-39 57 0
-39 59 0
-37 -59 0
-37 -57 1
-37 -55 2
-37 -53 3
-37 -51 2
-37 -49 5
-37 -47 2
-37 -45 12
-37 -43 22
-37 -41 9
-37 -39 14
-37 -37 7
-37 -35 7
-37 -33 14
-37 -31 19
-37 -29 19
-37 -27 49
-37 -25 54
-37 -23 101
-37 -21 179
-37 -19 259
-37 -17 440
-37 -15 729
-37 -13 985
-37 -11 1331
-37 -9 1662
-37 -7 2048
-37 -5 2281
-37 -3 2397
-37 -1 2419
-37 1 2484
-37 3 2420
-37 5 2323
-37 7 2052
-37 9 1788
-37 11 1335
-37 13 990
-37 15 689
-37 17 422
-37 19 302
-37 21 172
-37 23 115
-37 25 70
-37 27 40
-37 29 26
-37 31 13
-37 33 9
-37 35 11
-37 37 6
-37 39 5
-37 41 10
-37 43 19
-37 45 9
-37 47 9
-37 49 6
-37 51 1
-37 53 1
-37 55 0
-37 57 2
-37 59 1
-35 -59 2
-35 -57 1
-35 -55 3
-35 -53 1
-35 -51 2
-35 -49 2
-35 -47 4
-35 -45 10
-35 -43 4
-35 -41 10
-35 -39 4
-35 -37 9
-35 -35 10
-35 -33 24
-35 -31 24
-35 -29 50
-35 -27 85
-35 -25 129
-35 -23 235
-35 -21 375
-35 -19 566
-35 -17 861
-35 -15 1231
-35 -13 1698
-35 -11 2163
-35 -9 2534
-35 -7 2881
-35 -5 3258
-35 -3 3509
-35 -1 3420
-35 1 3659
-35 3 3486
-35 5 3144
-35 7 3045
-35 9 2630
-35 11 2157
-35 13 1657
-35 15 1218
-35 17 827
-35 19 599
-35 21 340
-35 23 228
-35 25 140
-35 27 68
-35 29 38
-35 31 23
-35 33 12
-35 35 10
-35 37 0
-35 39 6
-35 41 7
-35 43 6
-35 45 10
-35 47 3
-35 49 3
-35 51 4
-35 53 3
-35 55 4
-35 57 0
-35 59 0
-33 -59 1
-33 -57 1
-33 -55 2
-33 -53 3
-33 -51 2
-33 -49 6
-33 -47 6
-33 -45 8
-33 -43 10
-33 -41 3
-33 -39 8
-33 -37 11
-33 -35 16
-33 -33 22
-33 -31 39
-33 -29 71
-33 -27 117
-33 -25 238
-33 -23 455
-33 -21 663
-33 -19 959
-33 -17 1396
-33 -15 1938
-33 -13 2268
-33 -11 2856
-33 -9 3357
-33 -7 3852
-33 -5 4239
-33 -3 4517
-33 -1 4593
-33 1 4573
-33 3 4527
-33 5 4225
-33 7 3980
-33 9 3530
-33 11 2967
-33 13 2383
-33 15 1876
-33 17 1345
-33 19 1019
-33 21 673
-33 23 450
-33 25 279
-33 27 143
-33 29 90
-33 31 45
-33 33 12
-33 35 10
-33 37 6
-33 39 9
-33 41 2
-33 43 8
-33 45 6
-33 47 7
-33 49 3
-33 51 2
-33 53 1
-33 55 0
-33 57 0
-33 59 1
-31 -59 0
-31 -57 3
-31 -55 0
-31 -53 3
-31 -51 2
-31 -49 2
-31 -47 3
-31 -45 6
-31 -43 6
-31 -41 10
-31 -39 8
-31 -37 8
-31 -35 23
-31 -33 27
-31 -31 62
-31 -29 116
-31 -27 205
-31 -25 423
-31 -23 651
-31 -21 946
-31 -19 1486
-31 -17 2007
-31 -15 2457
-31 -13 3149
-31 -11 3829
-31 -9 4292
-31 -7 4864
-31 -5 5213
-31 -3 5448
-31 -1 5657
-31 1 5697
-31 3 5622
-31 5 5288
-31 7 4777
-31 9 4367
-31 11 3693
-31 13 2955
-31 15 2496
-31 17 1922
-31 19 1440
-31 21 1072
-31 23 696
-31 25 458
-31 27 288
-31 29 150
-31 31 74
-31 33 37
-31 35 10
-31 37 7
-31 39 7
-31 41 3
-31 43 6
-31 45 7
-31 47 3
-31 49 1
-31 51 1
-31 53 1
-31 55 1
-31 57 1
-31 59 1
-29 -59 0
-29 -57 1
-29 -55 0
-29 -53 0
-29 -51 1
-29 -49 1
-29 -47 1
-29 -45 3
-29 -43 8
-29 -41 5
-29 -39 5
-29 -37 13
-29 -35 34
-29 -33 48
-29 -31 92
-29 -29 179
-29 -27 359
-29 -25 594
-29 -23 940
-29 -21 1337
-29 -19 1824
-29 -17 2457
-29 -15 3076
-29 -13 3802
-29 -11 4537
-29 -9 5059
-29 -7 5676
-29 -5 6010
-29 -3 6422
-29 -1 6795
-29 1 6641
-29 3 6211
-29 5 6032
-29 7 5676
-29 9 4913
-29 11 4495
-29 13 3781
-29 15 3094
-29 17 2427
-29 19 1944
-29 21 1363
-29 23 974
-29 25 667
-29 27 389
-29 29 249
-29 31 98
-29 33 55
-29 35 26
-29 37 11
-29 39 5
-29 41 5
-29 43 1
-29 45 7
-29 47 2
-29 49 0
-29 51 3
-29 53 0
-29 55 2
-29 57 1
-29 59 0
-27 -59 0
-27 -57 0
-27 -55 0
-27 -53 1
-27 -51 0
-27 -49 1
-27 -47 2
-27 -45 8
-27 -43 4
-27 -41 8
-27 -39 11
-27 -37 20
-27 -35 23
-27 -33 67
-27 -31 121
-27 -29 276
-27 -27 492
-27 -25 789
-27 -23 1203
-27 -21 1696
-27 -19 2250
-27 -17 2903
-27 -15 3579
-27 -13 4304
-27 -11 5269
-27 -9 5840
-27 -7 6465
-27 -5 6832
-27 -3 7262
-27 -1 7512
-27 1 7390
-27 3 7262
-27 5 6789
-27 7 6454
-27 9 5663
-27 11 5040
-27 13 4236
-27 15 3534
-27 17 2807
-27 19 2240
-27 21 1637
-27 23 1210
-27 25 892
-27 27 541
-27 29 302
-27 31 171
-27 33 90
-27 35 35
-27 37 22
-27 39 17
-27 41 4
-27 43 8
-27 45 3
-27 47 2
-27 49 0
-27 51 0
-27 53 1
-27 55 2
-27 57 1
-27 59 0
-25 -59 0
-25 -57 1
-25 -55 1
-25 -53 1
-25 -51 2
-25 -49 2
-25 -47 3
-25 -45 6
-25 -43 4
-25 -41 8
-25 -39 7
-25 -37 14
-25 -35 47
-25 -33 76
-25 -31 188
-25 -29 344
-25 -27 584
-25 -25 910
-25 -23 1369
-25 -21 1943
-25 -19 2568
-25 -17 3217
-25 -15 4134
-25 -13 5031
-25 -11 5689
-25 -9 6386
-25 -7 7060
-25 -5 7513
-25 -3 7900
-25 -1 8073
-25 1 8143
-25 3 7980
-25 5 7493
-25 7 7006
-25 9 6200
-25 11 5578
-25 13 4697
-25 15 4000
-25 17 3199
-25 19 2543
-25 21 1944
-25 23 1484
-25 25 1074
-25 27 662
-25 29 418
-25 31 229
-25 33 100
-25 35 66
-25 37 24
-25 39 10
-25 41 7
-25 43 6
-25 45 5
-25 47 3
-25 49 0
-25 51 0
-25 53 1
-25 55 2
-25 57 1
-25 59 1
-23 -59 1
-23 -57 0
-23 -55 1
-23 -53 0
-23 -51 2
-23 -49 2
-23 -47 1
-23 -45 6
-23 -43 11
-23 -41 8
-23 -39 20
-23 -37 34
-23 -35 59
-23 -33 128
-23 -31 236
-23 -29 441
-23 -27 716
-23 -25 1110
-23 -23 1580
-23 -21 2229
-23 -19 2920
-23 -17 3705
-23 -15 4447
-23 -13 5402
-23 -11 6192
-23 -9 6963
-23 -7 7745
-23 -5 8148
-23 -3 8526
-23 -1 8751
-23 1 8836
-23 3 8622
-23 5 8124
-23 7 7614
-23 9 6721
-23 11 5947
-23 13 5160
-23 15 4312
-23 17 3600
-23 19 2917
-23 21 2216
-23 23 1640
-23 25 1193
-23 27 782
-23 29 447
-23 31 319
-23 33 143
-23 35 107
-23 37 30
-23 39 17
-23 41 8
-23 43 11
-23 45 10
-23 47 3
-23 49 0
-23 51 0
-23 53 1
-23 55 0
-23 57 1
-23 59 1
-21 -59 1
-21 -57 1
-21 -55 0
-21 -53 1
-21 -51 1
-21 -49 1
-21 -47 1
-21 -45 5
-21 -43 8
-21 -41 9
-21 -39 12
-21 -37 39
-21 -35 74
-21 -33 153
-21 -31 325
-21 -29 514
-21 -27 865
-21 -25 1289
-21 -23 1799
-21 -21 2415
-21 -19 3211
-21 -17 3896
-21 -15 4882
-21 -13 5783
-21 -11 6625
-21 -9 7772
-21 -7 8267
-21 -5 8791
-21 -3 9410
-21 -1 9367
-21 1 9236
-21 3 9175
-21 5 8640
-21 7 7967
-21 9 7368
-21 11 6458
-21 13 5579
-21 15 4818
-21 17 3900
-21 19 3033
-21 21 2365
-21 23 1836
-21 25 1361
-21 27 976
-21 29 632
-21 31 378
-21 33 211
-21 35 101
-21 37 51
-21 39 21
-21 41 12
-21 43 8
-21 45 8
-21 47 1
